60P:acc 0.9462, nmi 0.8902, ari 0.8868, f1 0.9466
61Q:acc 0.9460, nmi 0.8903, ari 0.8862, f1 0.9464
61Z:acc 0.9470, nmi 0.8926, ari 0.8887, f1 0.9474
61Z2:acc 0.9476, nmi 0.8944, ari 0.8898, f1 0.9482
61P:acc 0.9463, nmi 0.8904, ari 0.8869, f1 0.9466
62Q:acc 0.9460, nmi 0.8904, ari 0.8862, f1 0.9464
62Z:acc 0.9471, nmi 0.8928, ari 0.8889, f1 0.9475
62Z2:acc 0.9477, nmi 0.8945, ari 0.8899, f1 0.9482
62P:acc 0.9463, nmi 0.8904, ari 0.8869, f1 0.9466
63Q:acc 0.9460, nmi 0.8904, ari 0.8862, f1 0.9464
63Z:acc 0.9471, nmi 0.8927, ari 0.8888, f1 0.9475
63Z2:acc 0.9477, nmi 0.8945, ari 0.8899, f1 0.9482
63P:acc 0.9464, nmi 0.8908, ari 0.8871, f1 0.9467
64Q:acc 0.9462, nmi 0.8908, ari 0.8867, f1 0.9466
64Z:acc 0.9472, nmi 0.8928, ari 0.8891, f1 0.9477
64Z2:acc 0.9476, nmi 0.8944, ari 0.8898, f1 0.9482
64P:acc 0.9464, nmi 0.8908, ari 0.8871, f1 0.9467
65Q:acc 0.9462, nmi 0.8907, ari 0.8865, f1 0.9465
65Z:acc 0.9474, nmi 0.8930, ari 0.8894, f1 0.9478
65Z2:acc 0.9475, nmi 0.8942, ari 0.8896, f1 0.9481
65P:acc 0.9465, nmi 0.8911, ari 0.8874, f1 0.9469
66Q:acc 0.9462, nmi 0.8906, ari 0.8865, f1 0.9465
66Z:acc 0.9475, nmi 0.8932, ari 0.8896, f1 0.9479
66Z2:acc 0.9477, nmi 0.8943, ari 0.8899, f1 0.9482
66P:acc 0.9465, nmi 0.8910, ari 0.8874, f1 0.9469
67Q:acc 0.9462, nmi 0.8906, ari 0.8865, f1 0.9465
67Z:acc 0.9474, nmi 0.8930, ari 0.8894, f1 0.9478
67Z2:acc 0.9477, nmi 0.8943, ari 0.8899, f1 0.9482
67P:acc 0.9466, nmi 0.8911, ari 0.8876, f1 0.9470
68Q:acc 0.9462, nmi 0.8907, ari 0.8867, f1 0.9466
68Z:acc 0.9475, nmi 0.8932, ari 0.8898, f1 0.9479
68Z2:acc 0.9476, nmi 0.8940, ari 0.8898, f1 0.9481
68P:acc 0.9465, nmi 0.8909, ari 0.8874, f1 0.9469
69Q:acc 0.9464, nmi 0.8910, ari 0.8870, f1 0.9467
69Z:acc 0.9475, nmi 0.8933, ari 0.8898, f1 0.9479
69Z2:acc 0.9476, nmi 0.8940, ari 0.8898, f1 0.9481
69P:acc 0.9465, nmi 0.8909, ari 0.8874, f1 0.9469
